timestamp,base_currency,close,high,low,open,quote_currency
1988-11-01,GBP,2.17664,2.17664,2.15433,2.16661,CAD
1988-11-01,GBP,221.58226,222.60957,1.764,222.22571,JPY
1988-11-01,GBP,2.65087,2.66903,1.7667,2.66388,CHF
1988-11-01,GBP,1.7728,1.7728,1.7617,1.7665,USD
1988-11-01,GBP,2.15695,2.15939,1.7626,2.15086,AUD
1988-11-02,GBP,2.18413,2.19191,2.16859,2.18,CAD
1988-11-02,GBP,221.44211,221.98019,1.77,221.31702,JPY
1988-11-02,GBP,2.65257,2.66266,1.7706,2.65077,CHF
1988-11-02,GBP,1.7818,1.788,1.7682,1.7738,USD
1988-11-02,GBP,2.15271,2.16215,1.7727,2.15975,AUD
1988-11-03,GBP,2.17246,2.18604,1.7778,2.18103,CAD
1988-11-03,GBP,221.52983,221.83582,1.7803,221.43199,JPY
1988-11-03,GBP,2.64936,2.65492,1.7804,2.65131,CHF
1988-11-03,GBP,1.7775,1.7838,1.7765,1.78,USD
1988-11-03,GBP,2.1395,2.15616,1.7818,2.1482,AUD
1988-11-04,GBP,2.16593,2.17867,1.7787,2.16926,CAD
1988-11-04,GBP,220.94051,221.85376,1.7755,221.45473,JPY
1988-11-04,GBP,2.65118,2.66224,1.7777,2.65142,CHF
1988-11-04,GBP,1.7671,1.782,1.7637,1.7759,USD
1988-11-04,GBP,2.13315,2.14682,1.7754,2.13835,AUD
1988-11-07,GBP,2.19712,2.20325,1.7644,1.7647,CAD
1988-11-07,GBP,221.61537,221.90549,1.7689,221.01103,JPY
1988-11-07,GBP,2.64878,2.65781,1.7627,2.65287,CHF
1988-11-07,GBP,1.7789,1.7817,1.7624,1.7647,USD
1988-11-07,GBP,2.13887,2.14217,1.7624,1.7647,AUD
1988-11-08,GBP,2.18107,2.20226,2.18036,2.20062,CAD
1988-11-08,GBP,222.28229,223.22578,1.7737,221.98718,JPY
1988-11-08,GBP,2.65734,2.66571,1.7811,2.65233,CHF
1988-11-08,GBP,1.7692,1.7826,1.7683,1.7826,USD
1988-11-08,GBP,2.13259,2.14351,1.7802,2.14126,AUD
