,required,portara,barchart,dukascopy,polygon,yahoo,TraderMade,carver,decision,comments,comments pysystemtrade
GBPCAD ,1990,1988 (CQGFX-I),1999,2006,2009,2004,1987,,TraderMade,full coverage,"missing 2 years, CADUSD, USDGBP"
GBPJPY ,1999,1971 (CQGFX-I),2001,2006,2009,2004,1987,,TraderMade,full coverage,full coverage JPYUSD > USDGBP
GBPCHF ,1998,1971 (CQGFX-I),2001,2005,2009,2004,1987,,TraderMade,full coverage,full coverage CHFUSD > USDGBP
EURGBP ,1989,1971 (CQGFX-I),2001,2003,2009,2000,1989,,TraderMade,full coverage,missing 11 years EURUSD > USDGBP
GBPUSD ,1987,1971 (CQGFX-I),1983,2005,2009,2004,1987,1972,TraderMade,full coverage,missing 1 year USDGBP
GBPAUD,1995,1988 (CQGFX-I),2000,2006,2009,2004,1987,,TraderMade,full coverage,full coverage AUDUSD > USDGBP
INRGBP ,2002,2010 (MCX),2009,N/A,2009,2004,2014,,yahoo,missing 2 years,missing all
GBPKRW ,2006,N/A,2008,N/A,2009,2003,2014,,yahoo,full coverage,full coverage KRWUSD > USDGBP
GBPCNH ,2014,N/A,2015,N/A,2021,N/A,2014,,TraderMade,full coverage,full coverage CNHUSD > USDGBP
HKDGBP ,2006,N/A,2009,N/A,2009,2004,2014,,yahoo,full coverage,"full coverage HKD>USD, USD>GBP"
GBPSGD ,1998,N/A,2008,N/A,2009,2004,2014,1988,yahoo,6 years,"full coverage SGD>USD, USD>GBP"
,,,,,,,,,,,
CHFUSD,,1971 (CQGFX-I),2008,,,,,1992,,,
CADUSD,,1971 (CQGFX-I),2008,,,,,1992,,,
JPYUSD,,1971 (CQGFX-I),2008,,,,,1992,,,
AUDUSD,,1971 (CQGFX-I),1992,,,,,1995,,,
INRUSD,,1988 (CQGFX-I),2009,,,,,,,,
KRWUSD,,1988 (CQGFX-I),2009,,,,,1995,,,
USDCNH,,2010 (CQGFX-I),2012,,2021,,,1982,,,
HKDUSD,,1988 (CQGFX-I),2009,,,,,1992,,,
SGDUSD,,1988 (CQGFX-I),2009,,,,,,,,
USDGBP,,1971 (CQGFX-I),2008,,,,,1988,,,
,,,,,,,,,,,
EURCAD,,1971 (CQGFX-I),2001,,,,,,,,
EURJPY,,1971 (CQGFX-I),2001,,,,,,,,
EURCHF,,1971 (CQGFX-I),2001,,,,,,,,
EURGBP,,1971 (CQGFX-I),2001,,,,,,,,
EURAUD,,1971 (CQGFX-I),2001,,,,,,,,
INREUR,,N/A,2015,,,,,,,,
KRWEUR,,N/A,N/A,,,,,,,,
EURCNH,,N/A,2012,,,,,,,,
HKDEUR,,N/A,2009,,,,,,,,
SGDEUR,,N/A,2009,,,,,,,,
,,,,,,,,,,,
EURUSD,,1971 (CQGFX-I),1972,,,,,2000,,,
,,,,,,,,,,,
,,,,,,,,,,,
"EOD data provider: can't access start times via api or online, free trial account only has past 1 year of data",,,,,,,,,,,
"portara fx data: $108 per year, too pricey",,,,,,,,,,,
trademade estimated 71175 requests for each day of the required years,,,,,,,,,,,
tradermade is 1k per forex symbol if purchased from website,,,,,,,,,,,
Oanda 450 per plan,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,4,,,,,,,,,,
