timestamp,base_currency,close,high,low,open,quote_currency
2017-01-02,CAD,0.60607,0.60673,0.60245,0.60327,GBP
2017-01-02,JPY,0.00693,0.00694,0.0069,0.00693,GBP
2017-01-02,CHF,0.7958,0.79673,0.79311,0.79591,GBP
2017-01-02,EUR,0.85168,0.85523,0.84892,0.85436,GBP
2017-01-02,USD,0.8145,0.81464,0.80945,0.81064,GBP
2017-01-02,AUD,0.58523,0.58557,0.58132,0.58528,GBP
2017-01-02,CNH,0.1168,0.1166,0.1161,0.1161,GBP
2017-01-03,CAD,0.6085,0.60975,0.60486,0.60608,GBP
2017-01-03,JPY,0.00694,0.00696,0.00688,0.00693,GBP
2017-01-03,CHF,0.79532,0.79607,0.78996,0.79591,GBP
2017-01-03,EUR,0.85025,0.853,0.84502,0.85168,GBP
2017-01-03,USD,0.81711,0.81923,0.81257,0.81461,GBP
2017-01-03,AUD,0.58992,0.59096,0.58495,0.58524,GBP
2017-01-03,CNH,0.1174,0.1172,0.1168,0.1168,GBP
2017-01-04,CAD,0.61004,0.61218,0.60626,0.60845,GBP
2017-01-04,JPY,0.00692,0.00695,0.0069,0.00694,GBP
2017-01-04,CHF,0.79484,0.79606,0.79286,0.79548,GBP
2017-01-04,EUR,0.85102,0.8538,0.84797,0.85033,GBP
2017-01-04,USD,0.81144,0.81813,0.81036,0.81719,GBP
2017-01-04,AUD,0.59111,0.59301,0.58957,0.59002,GBP
2017-01-04,CNH,0.1182,0.1174,0.118,0.1174,GBP
2017-01-05,CAD,0.60887,0.61256,0.60821,0.61005,GBP
2017-01-05,JPY,0.00698,0.00701,0.00691,0.00692,GBP
2017-01-05,CHF,0.79739,0.80051,0.79413,0.79441,GBP
2017-01-05,EUR,0.85403,0.85828,0.85075,0.85126,GBP
2017-01-05,USD,0.80518,0.81454,0.8047,0.81155,GBP
2017-01-05,AUD,0.59084,0.59463,0.59053,0.5911,GBP
2017-01-05,CNH,0.1186,0.1181,0.1186,0.1182,GBP
2017-01-06,CAD,0.61494,0.61586,0.60841,0.60884,GBP
2017-01-06,JPY,0.00696,0.00699,0.00694,0.00698,GBP
2017-01-06,CHF,0.79934,0.80138,0.79695,0.79728,GBP
2017-01-06,EUR,0.85742,0.85896,0.8533,0.85399,GBP
2017-01-06,USD,0.81394,0.81545,0.8047,0.80515,GBP
2017-01-06,AUD,0.59399,0.59543,0.59076,0.591,GBP
2017-01-06,CNH,0.1187,0.1188,0.1185,0.1186,GBP
2017-01-09,CAD,0.62208,0.62321,0.61539,0.61619,GBP
2017-01-09,JPY,0.00709,0.00709,0.00695,0.00698,GBP
2017-01-09,CHF,0.80898,0.81043,0.8012,0.80249,GBP
2017-01-09,EUR,0.86936,0.86989,0.85832,0.8596,GBP
2017-01-09,USD,0.82214,0.8244,0.815,0.81635,GBP
2017-01-09,AUD,0.60451,0.6059,0.59486,0.59568,GBP
2017-01-09,CNH,0.1195,0.1197,0.1191,0.1193,GBP
2017-01-10,CAD,0.62066,0.62436,0.62054,0.62207,GBP
2017-01-10,JPY,0.00709,0.00713,0.00707,0.00709,GBP
2017-01-10,CHF,0.80759,0.81526,0.80752,0.80901,GBP
2017-01-10,EUR,0.86674,0.87639,0.8665,0.86936,GBP
2017-01-10,USD,0.82123,0.82533,0.82085,0.82214,GBP
2017-01-10,AUD,0.60534,0.60775,0.60342,0.60452,GBP
2017-01-10,CNH,0.1195,0.1194,0.1195,0.1195,GBP
2017-01-11,CAD,0.62127,0.62561,0.61955,0.6207,GBP
2017-01-11,JPY,0.00709,0.00714,0.00707,0.0071,GBP
2017-01-11,CHF,0.80745,0.81051,0.80677,0.80762,GBP
2017-01-11,EUR,0.86669,0.87069,0.86475,0.86666,GBP
2017-01-11,USD,0.81882,0.82978,0.81605,0.82127,GBP
2017-01-11,AUD,0.60926,0.61124,0.60406,0.60512,GBP
2017-01-11,CNH,0.1189,0.1199,0.1187,0.1188,GBP
2017-01-12,CAD,0.6255,0.62676,0.62089,0.62122,GBP
2017-01-12,JPY,0.00717,0.0072,0.00709,0.00709,GBP
2017-01-12,CHF,0.81329,0.81436,0.80699,0.80743,GBP
2017-01-12,EUR,0.8726,0.8748,0.86482,0.86694,GBP
2017-01-12,USD,0.82223,0.8227,0.81236,0.81876,GBP
2017-01-12,AUD,0.61532,0.61701,0.60938,0.60926,GBP
2017-01-12,CNH,0.1199,0.1193,0.1188,0.1189,GBP
2017-01-13,CAD,0.62595,0.62683,0.6222,0.62552,GBP
2017-01-13,JPY,0.00717,0.00718,0.00712,0.00717,GBP
2017-01-13,CHF,0.8141,0.81678,0.81105,0.81322,GBP
2017-01-13,EUR,0.87383,0.87681,0.86938,0.87261,GBP
2017-01-13,USD,0.8209,0.82464,0.8181,0.82223,GBP
2017-01-13,AUD,0.61582,0.61671,0.61272,0.61527,GBP
2017-01-13,CNH,0.12,0.1199,0.1198,0.1199,GBP
2017-01-16,CAD,0.63011,0.63499,0.62962,0.63438,GBP
2017-01-16,JPY,0.00727,0.00732,0.00725,0.00729,GBP
2017-01-16,CHF,0.82056,0.82514,0.81777,0.82469,GBP
2017-01-16,EUR,0.8798,0.88531,0.87634,0.88377,GBP
2017-01-16,USD,0.83011,0.83357,0.82776,0.83341,GBP
2017-01-16,AUD,0.62063,0.6238,0.61846,0.62334,GBP
2017-01-16,CNH,0.121,0.1214,0.121,0.1217,GBP
2017-01-17,CAD,0.61759,0.63149,0.61762,0.63009,GBP
2017-01-17,JPY,0.00715,0.00729,0.00714,0.00727,GBP
2017-01-17,CHF,0.80435,0.82255,0.80409,0.82033,GBP
2017-01-17,EUR,0.86294,0.88198,0.86262,0.87958,GBP
2017-01-17,USD,0.80552,0.83188,0.8056,0.83011,GBP
2017-01-17,AUD,0.60952,0.62249,0.60878,0.62064,GBP
2017-01-17,CNH,0.1184,0.1211,0.1186,0.121,GBP
2017-01-18,CAD,0.61458,0.62188,0.61397,0.61768,GBP
