,uname,initMarginChange,commission,commissionCurrency
0,DC,3425.15,2.97,USD
1,EBM,1522.02,2,EUR
2,ECO,2969.81,2,EUR
3,EMA,1640.73,2,EUR
4,KE,3054.11,2.97,USD
5,RS,801.69,2.4,CAD
6,XK,755.3,1.9,USD
7,XW,612.43,1.9,USD
8,ZC,1410.07,2.97,USD
9,ZL,2851.65,2.97,USD
10,ZM,3321.36,2.97,USD
11,ZO,5031.44,2.97,USD
12,ZR,3961.76,2.97,USD
13,ZS,3776.32,2.97,USD
14,ZW,3061.06,2.97,USD
15,GF,8381.04,2.97,USD
16,HE,3650.6,2.97,USD
17,LE,3829.69,2.97,USD
18,C,13159.18,1.7,GBP
19,RC,3116.07,3.1,USD
20,W,2660.93,3.1,USD
21,CC,13157.37,2.97,USD
22,CT,4288.21,2.97,USD
23,KC,8817.5,2.97,USD
24,OJ,11697.15,2.97,USD
25,SB,2098.65,2.97,USD
26,167,1968.53,4543.200073,KRW
27,JBL,12356.23,500,JPY
28,JBLM,1234.63,85,JPY
29,JB,1308.66,85,JPY
30,XT,1851.38,5,AUD
31,FGBX,7519.02,2,EUR
32,FBTP,4885.62,2,EUR
33,FGBL,2838.72,2,EUR
34,FOAT,2950.07,2,EUR
35,R,4593.01,1.7,GBP
36,FGBM,1753.79,2,EUR
37,FGBS,720.71,2,EUR
38,ZB,4034.36,1.74,USD
39,CGB,2226.65,2.4,CAD
40,TN,2955.08,1.67,USD
41,UB,6705.21,1.82,USD
42,ZN,2099.68,1.67,USD
43,ZF,1382.66,1.7976931348623157e+308,
44,ZT,1137.78,1.7976931348623157e+308,
45,ATW,43113.47,9.75,USD
46,ECF,52067.23,6,EUR
47,NGF,26818.87,7,GBP
48,TFM,9493.08,5,EUR
49,HH,5396.92,2.47,USD
50,NG,5396.62,2.47,USD
51,QG,1311.59,1.37,USD
52,BZ,14340.62,1.7976931348623157e+308,
53,COIL_Z,14339.85,1.7976931348623157e+308,
54,COIL,14339.85,1.7976931348623157e+308,
55,GOIL,9367.24,2.4,USD
56,CL,13903.94,2.37,USD
57,HO,28859.48,1.7976931348623157e+308,
58,MCL,1390.03,0.77,USD
59,QM,6951.69,2.07,USD
60,RB,28772.72,1.7976931348623157e+308,
61,AP,9880.72,5,AUD
62,NIFTY,1642.73,20,INR
63,TWN,2672.86,1.25,USD
64,CN,1444.46,2.85,USD
65,6,1142.74,614.5468262,KRW
66,5,1368.28,746.5625611,KRW
67,MHI,2094.69,17,HKD
68,TPXM,1151.57,50,JPY
69,MCH,884.33,20,HKD
70,MFS,6545.44,2.07,USD
71,MME,3314.54,2.07,USD
72,SGP,1067.22,4,SGD
73,225MC,190.8,14,JPY
74,225M,1910.92,40,JPY
75,FTI,7914.32,2.8,EUR
76,MFA,792.01,0.55,EUR
77,FCE,4124.74,2,EUR
78,MFC,412.5,0.4,EUR
79,FDAX,25510.57,2,EUR
80,FDXS,1020.11,0.4,EUR
81,FDXM,5101.98,0.8,EUR
82,FXXP,1271.4,2,EUR
83,FSXE,263.44,0.4,EUR
84,FESX,2637.07,2,EUR
85,Z,4327.28,1.7,GBP
86,Y2,5079.88,1.7,GBP
87,MICR,627.34,3,EUR
88,FIB,15688.55,3,EUR
89,MIN,3137.48,2,EUR
90,MIX,711.58,0.9,EUR
91,FSMX,2446.99,2,EUR
92,FSMS,562.01,1,CHF
93,FSMI,5620.93,4,CHF
94,FESB,578.33,2,EUR
95,FESU,1279.45,2,EUR
96,FSTA,4065.63,2,EUR
97,FSTS,3535.48,2,EUR
98,FSTO,2907.79,2,EUR
99,FSTH,3329.07,2,EUR
100,FSTI,2082.45,2,EUR
101,FSTE,1228.94,2,EUR
102,FSTL,710.79,2,EUR
103,EMD,20031.68,2.25,USD
104,MYM,914.99,0.62,USD
105,MNQ,1766.42,0.62,USD
106,M2K,678.02,0.62,USD
107,MES,1030.75,0.62,USD
108,SXF,10089.03,2.4,CAD
109,SXM,6967.06,2.4,CAD
110,RX,3639.95,2.25,USD
111,RP,6681.74,1.8815982,GBP
112,RY,5787.94,330.1546,JPY
113,6L,1630.34,2.47,USD
114,6M,1788.51,2.47,USD
115,6Z,1822.09,2.47,USD
116,UC,2969.75,11.2,CNH
117,IU,2373.02,2.85,USD
118,KU,758.54,2.85,USD
119,6A,2112.71,2.47,USD
120,6C,1810.09,2.47,USD
121,6S,4136.62,2.47,USD
122,DX,1966.1,2.22,USD
123,E7,1376.54,1.37,USD
124,6E,2745.45,2.47,USD
125,6B,2182.11,2.47,USD
126,6J,2552.21,2.47,USD
127,M6A,211.71,0.41,USD
128,M6E,275.27,0.41,USD
129,6N,1772.33,2.47,USD
130,FEF,1608.91,3.25,USD
131,TF,662.86,2.85,USD
132,ALI,4493.84,1.7976931348623157e+308,
133,HG,7669.17,1.7976931348623157e+308,
134,HRC,3383.96,6.87,USD
135,MHG,768.36,1.47,USD
136,PA,83216.51,1.7976931348623157e+308,
137,GC,183793.4,1.7976931348623157e+308,
138,MBT,,,
139,MGC,18376.22,1.7976931348623157e+308,
140,PL,4191.91,1.7976931348623157e+308,
141,SI,102276.24,1.7976931348623157e+308,
142,SIL,20457.93,1.7976931348623157e+308,
143,FEU3,644.18,2,EUR
144,I,768.04,2,EUR
145,SO3,919,1.7,GBP
146,SR3,297.11,2.12,USD
147,FVS,748.05,2,EUR
148,VX,6979.87,2.38,USD
149,VXM,697.99,0.475,USD
150,FSTU,1289.51,2,EUR
