tradingClass,symbol,exchange,ex_symbol,data_symbol,hold_cycle,priced_cycle,roll_offset,expiry_offset,carry_offset,open,close,session,description
PL,PL,NYMEX,PL,PLA,FJNV,FJNV,-30,26,1,07:00,23:00,23,Platinum Index
HO,HO,NYMEX,HO,HOA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-60,14,-1,07:00,23:00,23,Heating Oil
HH,HH,NYMEX,HH,NGA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-35,-5,-1,07:00,23:00,23,Natural Gas Last Day Financial Futures Index
QG,QG,NYMEX,QG,NGA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-35,-4,-1,07:00,23:00,23,NYMEX MINY Natural Gas Index
RB,RB,NYMEX,RB,RBA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-60,14,-1,07:00,23:00,23,NYMEX RBOB Gasoline Index
PA,PA,NYMEX,PA,PAA,HMUZ,HMUZ,-30,26,1,07:00,23:00,23,Palladium Index
MFS,MXEA,NYSELIFFE,MFS,MFS,HMUZ,HMUZ,-5,19,1,06:00,23:00,23,MSCI EAFE Index Futures
ALI,ALI,COMEX,ALI,ALI,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-45,14,1,07:00,23:00,23,Aluminum Index
MME,MXEF,NYSELIFFE,MME,MME,HMUZ,HMUZ,-5,15,1,06:00,23:00,23,MSCI Emerging Markets Index Futures
SI,SI,COMEX,SIL,SIA,HKNUZ,FGHJKMNQUVXZ,-45,26,-1,07:00,23:00,23,Silver Index
SIL,SI,COMEX,SIL,SIA,HKNUZ,FGHJKMNQUVXZ,-45,26,-1,07:00,23:00,23,Silver Index
GC,GC,COMEX,GC,GCA,GJMQVZ,GJMQVZ,-30,26,1,07:00,23:00,23,Gold
MGC,MGC,COMEX,MGC,GCA,GJMQVZ,GJMQVZ,-30,26,1,07:00,23:00,23,E-Micro Gold
CL,CL,NYMEX,CL,CLA,Z,FGHJKMNQUVXZ,-40,-11,1,07:00,23:00,,WTI Crude Oil
MCL,MCL,NYMEX,MCL,CLA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-40,-11,-1,07:00,23:00,23,Micro WTI Crude Oil
NG,NG,NYMEX,NG,NGA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-35,-4,-1,07:00,23:00,23,Henry Hub Natural Gas
QM,QM,NYMEX,QM,CLA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-40,-11,-1,07:00,23:00,23,NYMEX MINY Light Sweet Crude Oil
FNG,NYFANG,NYBOT,FNG,-,HMUZ,HMUZ,-5,16,1,06:00,23:00,23,Micro FANG+ Index Futures
HG,HG,COMEX,HG,CPA,HNUZ,FHJMNUVZ,-30,27,1,07:00,23:00,23,Copper
MHG,MHG,COMEX,MHG,CPA,HKNUZ,FGHJKMNQUVXZ,-30,15,1,07:00,23:00,23,Micro Copper
XAU,IXU,CME,XAU,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Utilities Select Sector Index
XAE,IXE,CME,XAE,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Energy Select Sector Index
XAF,IXM,CME,XAF,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Financial Select Sector Index
6E,EUR,CME,6E,EUA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,European Monetary Union Euro
XAI,IXI,CME,XAI,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Industrial Select Sector Index
ESG,SPXESUP,CME,ESG,-,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,E-mini S&P 500 ESG
ZN,ZN,CBOT,ZN,TYAA,HMUZ,HMUZ,-25,19,1,07:00,22:00,22,10 Year US Treasury Note
6S,CHF,CME,6S,SFA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,Swiss franc
MES,MES,CME,MES,EP,HMUZ,HMUZ,-5,14,1,07:00,22:00,22,Micro E-Mini S&P 500 Stock Price Index
SR3,SOFR3,CME,SR3,SR3,HMUZ,HMUZ,-1000,18,-1,07:00,22:00,22,Secured Overnight Financing Rate 3-month
EMD,EMD,CME,EMD,EMD,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,E-mini S&P Midcap 400 Futures
MNQ,MNQ,CME,MNQ,ENQ,HMUZ,HMUZ,-5,14,1,07:00,22:00,22,Micro E-Mini Nasdaq-100 Index
M2K,M2K,CME,M2K,RTY,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Micro E-Mini Russell 2000 Index
6A,AUD,CME,6A,DAA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,Australian dollar
6N,NZD,CME,6N,NEA,HMUZ,HMUZ,-10,17,1,07:00,22:00,22,New Zealand dollar
6B,GBP,CME,6B,BPA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,British pound
XAV,IXV,CME,XAV,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Health Care Select Sector Index
6C,CAD,CME,6C,CAA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,Canadian dollar
